PESSOA;IDADE;RENDIMENTO_ANUAL;SITUACAO_PROPRIEDADE;ANOS_TRABALHADOS;EMPRESTIMO;MOTIVO_EMPRESTIMO;PONTUACAO;VALOR_EMPRESTIMO;JUROS;POSSIB_INADIMPLENCIA;EMPRESTIMO_PERC_RENDA_ANUAL;SOLICITACAO;INADIMPLENTE;ANOS_PRIMEIRO_CREDITO
xnzIpFAr-XXwH;38;104800;Hipotecada;6.0;TzCPj24J-ca8m;Melhora do lar;A;14000;6.03;0;0.13;UQob4enS-T6vi;0;11
ovRoivfH-IjfO;24;54000;Alugada;5.0;j3OkEttF-0WEF;Pessoal;B;10000;10.37;1;0.19;6Nq8kiU6-x1fy;0;2
uibGCsfz-Ckan;28;31200;Alugada;5.0;ppcT0kM2-xeaD;Médico;B;15000;11.83;1;0.48;d8SYuDlD-1hxK;0;9
acxjtnmi-DGoU;25;30000;Hipotecada;5.0;SO5etFmQ-jlWc;Educativo;B;3600;12.42;0;0.12;gdttvwPt-3vHG;0;4
teuPSCyZ-4SIt;27;26400;Alugada;1.0;rl454ROl-RE3x;Médico;C;2000;13.61;0;0.08;9k5UX4Sx-pGJH;0;10
aL8WvTsy-OI0U;24;165000;Hipotecada;5.0;e4El33TE-HEZ0;Pessoal;B;20000;10.37;0;0.12;0wEqeaQf-JwZa;0;4
XMjHaXKG-iequ;28;55000;Própria;13.0;CficaDJv-lSCF;Pessoal;A;18000;7.9;0;0.33;U3x0jcRy-FhCQ;0;6
cvIqCzS9-nLAC;24;24000;Alugada;6.0;WuePqe8O-5h4n;Pagamento de débitos;B;10000;10.99;1;0.42;KxFz4P5K-imCR;0;4
mT70IZzf-Rw04;28;45000;Alugada;12.0;rYq1TN8p-W9ip;Educativo;A;12000;5.42;0;0.27;FQvMPyd8-fCC6;0;10
ZtFKaHYz-EfwS;29;73000;Alugada;7.0;UrSDOZmq-SHv8;Pagamento de débitos;C;2500;14.35;0;0.03;GDPH8bRr-rfBD;1;8
vXptakPx-ZaAQ;32;83000;Hipotecada;1.0;TWzlzDLX-Xp8R;Educativo;A;10000;8.0;0;0.12;ynPmFgwX-bguu;0;5
BQaygb6q-26ua;25;59004;Alugada;1.0;sjua2Cut-KaRy;Melhora do lar;D;20000;14.84;1;0.34;YDpCWDn8-1xtw;0;4
ozzyhfDm-j8f3;24;37000;Hipotecada;7.0;0tRIGYjQ-ztvb;Pagamento de débitos;A;6250;7.14;1;0.17;Rxalfe6U-BFKl;0;4
q3Z6kSJf-Rsat;24;26000;Alugada;0.0;aG4xJ8H3-OOu0;Pessoal;E;4200;16.0;1;0.16;GlAI568m-j4tA;0;2
PgIMQRh7-PGH2;26;70000;Hipotecada;10.0;x34ZBN0f-ohbR;Educativo;B;5000;9.88;0;0.07;eGmXwiGG-ccaX;0;4
Fuy4r2Ic-MUEJ;25;76800;Hipotecada;9.0;iXqjKeJx-euB0;Pagamento de débitos;D;15000;14.96;1;0.2;Gc7di3KP-Yohq;0;2
EMBhOyqQ-eTrC;25;75500;Hipotecada;9.0;mNBenmyK-7IXc;Educativo;B;7000;11.36;0;0.09;FbkJvXNe-RQeZ;0;2
YRDMXMlF-qiTN;27;60000;Própria;11.0;9N5woqOA-eswX;Pagamento de débitos;D;18000;13.24;0;0.3;7ZYFn2Ph-dBzA;1;7
DvYufhHn-pgxy;25;125000;Alugada;3.0;FedTbeUi-3Q2J;Melhora do lar;B;7500;12.69;0;0.06;MLYl6R5K-fqm4;0;4
EFnXyf8l-N5Aq;24;23196;Alugada;1.0;OUiKlBx8-aGmm;Educativo;D;7500;13.24;1;0.32;Wb34Qh8u-7eL5;0;2
94KDvTpP-KwX7;26;120000;Hipotecada;10.0;YiuqK3uN-f2YT;Pagamento de débitos;A;23000;6.62;0;0.19;1MRyEUF8-aR4G;0;3
HwxsDg3N-sp6h;26;41400;Alugada;5.0;xT2DmxMc-Io61;Pagamento de débitos;B;7300;9.45;0;0.18;X0m7Y4nB-vwHR;0;4
S2EM441q-pvls;48;19632;Alugada;19.0;H0vOZyyk-JC8H;Pessoal;C;2000;13.47;0;0.1;DTLT3qF6-1mdU;1;12
tPCst3l8-EC6U;22;50361;Alugada;6.0;YTIjhi2c-4X63;Educativo;C;12000;12.73;0;0.24;shEd7xJZ-3anv;0;4
a43n9Xkq-CzGd;28;51000;Própria;2.0;q9SYszwA-Yscn;Pagamento de débitos;E;20400;17.74;1;0.4;0DIRZ5uD-kaAE;1;5
5hhpu0Bk-GSlP;34;136625;Hipotecada;3.0;SlAIvx5o-Ndck;Empreendimento;A;15000;7.88;0;0.11;7EO1TQny-sJ6Q;0;6
t0odp5Kr-89RL;22;70000;Alugada;0.0;x2mXKEGF-RBSs;Educativo;A;8000;7.66;0;0.11;PAYbJlku-wtdD;0;4
KZAZAjwh-0Br8;38;90000;Hipotecada;0.0;GgCgpGu1-XYXm;Melhora do lar;C;9600;13.92;0;0.11;iYjHG6zg-0gpj;1;17
thjaxXqA-KIlI;24;96000;Hipotecada;1.0;Qztg3TSH-Fb8v;Melhora do lar;B;4800;11.99;0;0.05;eQDF9SWO-A8Cn;0;3
cXS85amu-Z6oo;33;143004;Hipotecada;17.0;XZ7M6ZZE-Liyw;Empreendimento;A;10000;6.99;0;0.07;7OhFZis6-6xI9;0;9
BobM1zzK-Gm4R;23;21000;Alugada;3.0;paMstnLI-oIKO;Pagamento de débitos;D;3750;15.65;1;0.18;lm28knnu-G88m;0;2
6FQuYOFi-CE5l;36;50000;Hipotecada;2.0;mXjJ1bD0-EUtd;Médico;C;16000;13.48;0;0.32;dLY01qDB-2Wdp;0;15
7fJ4YCfN-B9J7;22;40000;Hipotecada;1.0;el3pwP7Y-1OqA;Pessoal;E;8000;16.0;0;0.2;6lddJx9I-QlbP;1;3
evdkeXIJ-cwk4;23;96000;Alugada;7.0;HaRr8bvx-tv7k;Educativo;B;10000;10.65;0;0.1;RWdbvps0-hWv9;0;3
Yh8NMi89-fINf;24;70550;Alugada;8.0;EjcdpjCl-Hh2r;Médico;D;9000;15.05;1;0.11;ggBpbnWy-Tkuz;1;2
je0Jb0to-60yx;25;54000;Alugada;1.0;35EnK4Qr-8J3T;Melhora do lar;B;8000;11.49;1;0.15;WOv0b2vO-JlzW;0;4
XSXPRal7-18oY;23;85000;Alugada;0.0;n6beX4Pt-8fgJ;Pagamento de débitos;A;7175;7.49;0;0.08;W2tj84dx-oUPY;0;4
uWZ4RUBj-xdwu;21;20400;Alugada;2.0;XR9gCOQU-lBil;Pessoal;B;4500;10.99;0;0.22;G07Z61LO-1NZG;0;2
nmoEPB7z-5fGw;22;60000;Alugada;2.0;iEHuKufD-Rfty;Pessoal;B;3000;11.89;0;0.05;s7RvADhv-9840;0;4
8M1xAaF0-gBJl;24;75000;Hipotecada;3.0;FJky53Un-eEAo;Melhora do lar;B;3000;11.11;0;0.04;yJEfU1DQ-DoPn;0;3
NISBSkZh-H5fK;43;35300;Hipotecada;5.0;iA8EB6WU-KDKQ;Médico;B;10000;10.25;0;0.28;K6wcElwd-Lsap;0;13
yYYSZyJf-7Yf4;41;171194;Hipotecada;9.0;6HUXsT7Q-so82;Melhora do lar;B;25000;11.12;0;0.15;v1XKTFoJ-9Czj;0;14
TLaWn3sg-Gp5d;23;55000;Hipotecada;5.0;HPxrM9lL-3dKt;Educativo;A;15000;6.17;0;0.27;alHB7Yzz-UvDK;0;3
ejFfJa5T-a7yI;32;95000;Hipotecada;3.0;eeMIyOp0-Fl6Q;Pessoal;B;18000;11.11;0;0.19;mclbrtO7-wfox;0;8
l7TW9gXn-boaJ;28;87000;Alugada;7.0;5Y7Pn42N-XXkC;Empreendimento;B;6400;10.39;0;0.07;EsxgnWSi-BIYC;0;6
Fr1chghp-Dvim;42;160000;Alugada;6.0;DEBqRZLu-TpO3;Empreendimento;B;6000;10.65;0;0.04;67uSXtfX-hmc5;0;17
Ouu1gv1t-tSww;24;65000;Hipotecada;7.0;f86AeSGO-hQxp;Pessoal;A;1525;5.42;0;0.02;Wnol2p23-aKEk;0;3
TEmYeTZK-tNYn;27;160000;Alugada;4.0;GYPZSmfH-CwAN;Educativo;B;8000;12.42;0;0.05;ZOw8WB8j-9pNs;0;9
GZbZWx7g-U4UT;31;75000;Alugada;2.0;Kx1N8KUW-T815;Empreendimento;A;6000;7.68;0;0.08;OEo8bxku-4qbA;0;10
clvlSNAI-96EO;27;48996;Alugada;3.0;5QHCT7yT-Bjvt;Empreendimento;B;12000;12.53;0;0.24;OmAxnkNm-HpO3;0;6
xh4Yju6p-eHk0;25;75000;Alugada;9.0;9nWDM7vl-e1KB;Pagamento de débitos;B;25000;10.36;1;0.33;NE5CFsBi-9Zq6;0;2
Q8rau0Wr-Xxg0;34;30000;Hipotecada;4.0;uESfvoKE-kOft;Pagamento de débitos;A;4300;7.9;0;0.14;WiGLuenH-sPqq;0;5
Oh4GXOTy-O7mH;22;36000;Alugada;1.0;3yGusBtI-1Upo;Empreendimento;A;6000;7.51;0;0.17;LrNdfgiA-Ws3y;0;4
I4cClRsd-sHf9;22;64000;Alugada;2.0;6uaUOM9t-09zK;Pagamento de débitos;A;14000;7.88;0;0.22;2CZBTOcG-fCwP;0;3
hKIFqldO-I592;29;140000;Alugada;5.0;2c9781MH-Yxp8;Pagamento de débitos;C;20000;13.49;0;0.14;QyE8d9Xs-KT33;1;8
JnDKWg0j-z89p;24;70000;Alugada;3.0;0KgbxTX4-M8ht;Educativo;B;25000;11.86;1;0.36;dZFEZ7Df-RAJE;0;4
O0KGj4rY-DSFZ;22;39000;Hipotecada;6.0;wMHH72pO-fkuO;Educativo;A;7000;8.94;1;0.18;4PGZMfjS-3DiW;0;3
cqU3PXx0-spr7;30;98000;Hipotecada;14.0;70NQ31Py-txKh;Educativo;B;9000;11.49;1;0.09;tK4P4Kmx-Dolu;0;5
uLxOOPAn-MfOK;32;24600;Hipotecada;6.0;fitNcx0R-RT1L;Médico;A;4800;8.9;1;0.2;ndhS3B8M-RfsP;0;7
Q9g7dTXG-HEdZ;29;115000;Alugada;5.0;GaHyZxtk-NOKI;Melhora do lar;A;7500;5.99;0;0.07;f2xWtrLq-JEdg;0;8
LEf3EULB-LedW;25;72000;Hipotecada;9.0;1awfBBdO-IMi1;Empreendimento;A;3200;6.39;0;0.04;KHGTB4ej-RW70;0;4
OSEIqq7y-H08N;25;32000;Alugada;7.0;cINmRq89-ipeS;Pagamento de débitos;A;11000;7.66;1;0.34;AMFicg0f-dLtK;0;3
XaEwQwvr-hjEx;36;59800;Hipotecada;20.0;CIfetqJp-L0Iv;Empreendimento;D;18200;18.25;0;0.3;Mv8rtw5O-IFCp;1;15
TGUZ1l9L-Kvb1;26;135660;Alugada;10.0;2fH0cFbH-uZf2;Pagamento de débitos;B;25000;12.53;0;0.18;1gjsRGM4-RAJO;0;4
tg5QFvud-0f3m;24;93000;Alugada;8.0;pJXGxL1O-BO6g;Médico;A;4000;5.42;0;0.04;dWoL6gEx-BabU;0;2
Dz86424B-BKWq;21;62000;Alugada;2.0;RfqE9iOL-699g;Educativo;B;6000;10.25;0;0.1;WxFhYYeN-pjaA;0;4
XSEQhS0U-9m3z;22;80000;Hipotecada;5.0;CicTb45k-KOTn;Empreendimento;B;5000;11.36;0;0.06;njI5FXI8-asB8;0;3
JH8QLn9O-meC6;27;51600;Hipotecada;12.0;Ayes7kxx-kTMv;Médico;A;6000;8.9;0;0.12;M1JSLLxI-uaKL;0;9
hJ6YREf1-JQgi;32;26000;Própria;4.0;RLOYdc7u-WXJP;Empreendimento;C;13750;13.11;0;0.53;60ZKifrX-2kg6;1;10
SUu7ki8p-oUrX;24;45000;Alugada;3.0;DdF6j7GK-p4GJ;Pessoal;A;7800;7.51;0;0.17;ZkUdQE79-J78n;0;3
vTrxjZkh-MiiZ;23;96000;Alugada;7.0;nLBhk87d-ohDR;Educativo;A;7300;8.49;0;0.08;QEBw2AaH-y0Ne;0;4
hxAg8hjQ-MMqe;23;45000;Alugada;4.0;WvZLMchO-7N7D;Pessoal;C;4800;13.98;0;0.11;dyhisPad-1YH8;1;2
yFj3lQqX-KFKe;22;26880;Alugada;2.0;QlGSTd3A-371k;Pagamento de débitos;B;1600;11.12;0;0.06;tOrhMF9Y-lPqL;0;2
bZOkZrOW-TrjI;29;52000;Alugada;9.0;bxZa7rbb-Fyv0;Pessoal;A;10000;8.0;0;0.19;10OJOckp-0wsO;0;8
jtErxuwk-BXE2;34;29000;Alugada;0.0;Onap9tOx-irYg;Melhora do lar;A;10800;9.63;1;0.37;9DyDrvkw-PxUJ;0;10
LaDlgIjS-TXqE;29;45500;Hipotecada;6.0;hUpCMYrP-H0Wo;Melhora do lar;B;10000;10.65;0;0.22;0lbUCOeP-vFLZ;0;10
LdXKjgGR-FJCe;21;69000;Alugada;0.0;pyNMjPxB-Qgxj;Melhora do lar;D;15000;15.28;1;0.22;L52ZL99T-kp85;1;4
iS3OIz48-g9NR;37;58000;Alugada;9.0;fAioTcmx-zUkh;Médico;B;18200;10.99;1;0.31;3MDN2r7p-AK1l;0;11
I8IU3b7N-IH2K;46;101500;Hipotecada;8.0;MjsMSKOA-nyXN;Pagamento de débitos;B;15000;11.14;0;0.15;93BMPynm-hpRg;0;14
cn6Z5lD5-hNNT;27;60000;Alugada;0.0;3eAc7wWh-0oDp;Pessoal;A;3500;9.32;0;0.06;m9R8wwah-o4ds;0;7
ZAl86vyQ-LRv3;27;78000;Própria;3.0;vE9KS4P0-iAXl;Médico;D;12000;15.58;0;0.15;2EqPQQEs-iXbT;0;7
kNrdjKTT-Fety;34;41600;Hipotecada;16.0;ZyC6k77b-M4wy;Pagamento de débitos;A;17500;6.17;0;0.42;99P7wwYb-PinW;0;6
nqzNBpsd-BndJ;21;40000;Alugada;1.0;aXGiMdBv-Mo2e;Educativo;B;6000;10.08;0;0.15;NM9TZDRl-qH1L;0;3
7lyEE2mz-c8bS;36;29000;Hipotecada;5.0;i1gycN2x-oMX0;Educativo;A;4000;8.49;1;0.14;IQgEvZcj-LJHE;0;13
B0SKDK0C-3G4k;35;37000;Alugada;5.0;s0GwBXFU-PPl8;Pagamento de débitos;A;14000;7.88;1;0.38;4rHPlrNy-uQO6;0;8
NPpu6ZhA-TB6M;27;36600;Hipotecada;6.0;UEPMIDv2-cUFq;Empreendimento;A;5000;5.42;0;0.14;uJ3dD1DP-HOrM;0;5
qYgiBi9f-bqOL;32;65000;Hipotecada;6.0;We6ot9vG-bjmp;Pessoal;B;5600;11.58;0;0.09;3I7UbdSL-96za;0;5
4A5NkQka-W83Q;28;84000;Alugada;1.0;w7HJfiPD-lD1O;Pessoal;B;12000;11.71;0;0.14;h8vrPyOo-30Oy;0;8
LwLCATGe-eZK9;24;53000;Hipotecada;1.0;zWxZ60jj-dPlZ;Educativo;D;6400;13.67;0;0.12;CUOH4IXh-5l5b;0;2
8sYqRvMU-2n8l;25;130000;Alugada;3.0;dBBJnpYD-K8lz;Melhora do lar;A;2000;6.99;0;0.02;TJPOZg8n-5NRr;0;4
j1ecfDyB-hulY;29;117000;Alugada;6.0;HZHqLtPp-4Xe4;Educativo;B;21000;10.65;0;0.18;zoyBXcme-88wq;0;5
khHC3UKF-dKne;21;19000;Própria;0.0;aNwQ4ZoF-N1RE;Médico;D;7200;14.74;1;0.38;PWBndQEa-zBdh;1;4
eudIS6z5-2d9X;22;140000;Alugada;0.0;miGAAZrO-qQHj;Educativo;B;10000;9.99;0;0.07;E4UFADpH-vEQi;0;2
DZdXy6Co-8S4Q;27;42000;Alugada;7.0;yyytoFHX-qEfm;Médico;B;5000;11.11;0;0.12;I9GZi7Yb-sH4p;0;9
kvw9Tzn4-hufn;37;45600;Alugada;2.0;GB0LRFRi-uk93;Pagamento de débitos;B;4500;11.86;0;0.1;XY5NoKtL-YoHK;0;16
ZzQ54eTc-xHmA;23;46000;Hipotecada;1.0;ZQDsZD84-CUBI;Empreendimento;A;3000;5.42;0;0.07;qQElUwZy-Fqjh;0;3
J0FzZB2i-DoDp;22;25062;Própria;4.0;7vy7WIb3-EXdJ;Pagamento de débitos;D;4000;16.49;0;0.16;E6QSarTG-rP0Z;1;2
prUSvO2X-pzzx;30;72000;Hipotecada;3.0;I414hOXt-xEMh;Médico;A;14000;6.99;0;0.19;x1TGE1zk-SOBe;0;9
QeI32MFJ-POi0;34;59000;Alugada;0.0;HPDmBXCS-x3d9;Educativo;D;4100;14.91;1;0.07;Nbl6uJrT-MT0U;0;10
sQ5KuGMm-cpW3;33;82000;Hipotecada;2.0;jTj8oJiu-G6nx;Pessoal;B;20000;10.99;0;0.24;QmPi5z2L-7Ae2;0;10
K1F9HpLD-Dbu2;25;33000;Hipotecada;6.0;WBmZG9sP-AaaQ;Educativo;A;8000;6.62;0;0.24;6fnibIgw-rvsx;0;4
L4tJfeUK-oUnj;27;108000;Hipotecada;11.0;23YEIwxM-kuzf;Pagamento de débitos;D;25000;14.96;1;0.23;vDW1x0Bt-YB8W;1;9
Pb8NngEw-8bQv;22;140000;Alugada;0.0;vkHfLr1i-H9uU;Médico;C;14000;13.11;0;0.1;X71T0uwZ-cKZ8;0;3
J7Izo5T4-XYwe;22;92000;Alugada;6.0;NavfvlJm-L2S5;Empreendimento;F;20000;15.65;0;0.22;owD1fY0h-YHUD;1;2
4Xx4lOO7-OKeO;27;35004;Alugada;7.0;8g7rCr17-HOP7;Médico;B;5000;10.75;0;0.14;B7zCTO09-z01P;0;8
zTwGfZ1O-i3mX;28;44000;Alugada;3.0;E8Pe80Eb-r1Nb;Médico;E;19000;16.82;1;0.43;Y7O3UnF1-vrPd;0;8
anzgeSew-Io0G;25;38000;Alugada;8.0;7Qar2Urg-6X5y;Pessoal;A;6000;6.99;0;0.16;DEN5aASg-b7pz;0;4
ZTlNGvyz-XCeZ;26;244800;Hipotecada;11.0;0Kn9F1fD-TDds;Médico;D;12000;16.29;1;0.04;zppvvmxl-xEoJ;1;4
HvSfUXlq-3eJJ;26;45000;Hipotecada;9.0;jpQKEyvn-bjv7;Empreendimento;D;10000;16.89;0;0.22;iSJ1zGXS-fPY6;0;4
cGK2IxUA-TGXG;25;90000;Hipotecada;9.0;0uwpxq39-JKoJ;Médico;A;6000;6.99;0;0.07;ihAf99xr-5wtA;0;3
MTKEsiDE-jmfQ;27;24000;Alugada;2.0;mqiqwBlm-v9EF;Empreendimento;C;5000;14.72;0;0.21;DQje8JDh-TyUD;0;10
LngSwego-UEzo;37;68480;Alugada;2.0;8ljgh2h0-npBN;Melhora do lar;C;3600;15.23;0;0.05;q7MgfOW3-27PC;1;15
I5Js7Yzv-wKku;28;72000;Hipotecada;12.0;cEW24gGR-EqjM;Pessoal;E;16000;15.95;0;0.22;hTczw5pZ-IKm2;0;5
4h9SqbLy-FjcI;37;78000;Alugada;14.0;PR6FoBBy-wvcD;Educativo;C;10200;13.06;0;0.13;YkEm3ofs-pc0X;1;13
Sx4MlUNf-sUBq;38;55000;Alugada;2.0;YB8SGuQS-WHbe;Melhora do lar;B;14000;11.48;0;0.25;RZ5gmz9W-xFkp;0;16
QpOD8DB5-dd4z;22;49536;Hipotecada;6.0;abAh453m-BIcU;Educativo;A;5200;6.62;0;0.1;7XbvknMr-D6oi;0;3
69ItHZRi-FQ5w;22;30000;Hipotecada;1.0;8MHjyRdY-Iueq;Pessoal;B;5500;10.99;0;0.18;4tEyqZF8-QmoN;0;3
F5K18zHC-mG6s;23;75000;Própria;0.0;P0sG2ewf-GDpe;Educativo;C;5000;14.65;0;0.07;6HH8K253-ZNHb;0;4
utpD5rAq-elJs;25;24996;Alugada;8.0;piXOhptm-AZz0;Empreendimento;C;2500;12.98;0;0.1;mMk1JOSv-ix7d;0;4
WwMbxox0-gFJD;26;31200;Hipotecada;4.0;NfjJ9bvY-hz1E;Melhora do lar;A;8400;7.51;0;0.27;IdmojMvp-YKZd;0;3
nvcq38fb-AoGd;23;47000;Alugada;0.0;wWhxi5SE-Df0J;Empreendimento;A;5000;8.9;0;0.11;NzPQYTZ3-B8Hl;0;2
57CWhWky-xutz;39;76000;Hipotecada;8.0;l7q39QWi-jgZi;Melhora do lar;A;5000;6.03;0;0.07;y5Dc6nvX-Ffa8;0;14
w7iTMxXu-MK6b;29;38004;Alugada;2.0;NdfRZlMF-eKCt;Educativo;C;1500;12.53;1;0.04;MdHxOoeL-wIwY;0;8
JIeWnoG4-sHhA;25;88000;Alugada;0.0;HfKHKCEn-AX8m;Empreendimento;D;25000;14.96;1;0.28;dFAW1wN3-sC6d;0;4
OtTZZmDm-QFnA;36;125000;Alugada;0.0;XvSxeBaI-AC72;Melhora do lar;B;18000;11.11;0;0.14;z3euvWKD-eTev;0;11
MgTCjtdx-rRCK;36;88000;Hipotecada;1.0;Oy86Xnl3-TxEr;Pagamento de débitos;C;7750;13.23;1;0.09;DlrYStU3-PHPm;0;14
GZiQEATg-rWAn;26;38400;Própria;2.0;XIoJcdIc-t9RB;Educativo;B;5550;9.99;0;0.14;1qOpZIX6-lqBR;0;2
H1pXJZoM-7owl;23;50400;Hipotecada;7.0;iw2WKYO8-uxGY;Educativo;A;8375;7.51;0;0.17;l7KSwpJk-x9AS;0;2
7LNtLe6u-5dZU;32;86000;Alugada;4.0;xwrBhBRU-cPlz;Educativo;C;1600;13.23;0;0.02;6r2CArZ6-L6Jg;1;9
tjADukbl-uJE5;24;60000;Alugada;0.0;NFxgkXNt-HbtF;Pessoal;B;12000;12.21;0;0.2;Dk9kgFez-l4fz;0;2
j48dwayy-tbI2;34;54000;Alugada;2.0;8vnMateK-iEmS;Melhora do lar;D;15000;14.11;1;0.28;XR5bg2Ox-nb8g;1;7
K3dd7Krw-DfyM;25;84000;Alugada;0.0;vFNhTmoj-ax4M;Pessoal;B;4500;12.18;0;0.05;5xNrCJob-hB27;0;2
5Nkd7Oam-2LiC;24;132000;Hipotecada;8.0;E0QZlEsd-nlsQ;Empreendimento;D;14000;17.49;0;0.11;ncLEu0MN-aSwG;1;2
SexLvnKn-mmnD;22;28000;Alugada;6.0;sohnmMgo-9vYy;Educativo;B;15000;10.99;1;0.54;ZCJDjB6X-cl2I;0;2
oypr4yEB-hLQ5;31;45000;Alugada;5.0;in25BKgX-OIEH;Médico;A;14000;7.91;1;0.31;YoYvyTGf-MGhI;0;5
kTaC1iLp-7ypN;25;65000;Alugada;4.0;AiZLnTu8-0Qjr;Melhora do lar;C;15000;13.49;0;0.23;3BbNueLa-0sKm;1;3
YDzvmQJa-kv9w;24;80000;Hipotecada;8.0;mMcNr6bb-c9c5;Pagamento de débitos;C;24000;14.35;0;0.3;dv4wGfwp-Cs82;1;3
r4eUHgTA-YFa3;27;45000;Hipotecada;3.0;qQLN883u-CzaE;Pessoal;A;4000;6.99;0;0.09;ghJXPrBJ-rcSl;0;7
F50d5Bth-7gq5;23;61000;Alugada;3.0;RJxyllJf-ycv1;Pessoal;A;4200;6.03;0;0.07;I7KJr01J-5OMF;0;4
awCUfyMr-vScu;22;37008;Alugada;2.0;Zo7TmMXo-hfzX;Pessoal;B;3600;12.42;0;0.1;6gIvkPLU-ZFtJ;0;3
xuGDETAL-5JXw;29;71000;Hipotecada;4.0;EAKc0HUX-7FCm;Empreendimento;A;4000;7.14;0;0.06;xm9KZNnr-uCXX;0;5
GpCZZfK7-pSa9;24;29004;Alugada;5.0;Dl6DiGUy-BJux;Médico;B;8725;12.18;0;0.3;lm7yxi4J-IM8A;0;2
ULjyutr8-CbHa;22;75000;Hipotecada;3.0;2YLB01mt-Iwto;Educativo;A;9000;5.79;0;0.12;TjNJvK99-jQkG;0;2
trwiRyci-LXtQ;27;45600;Hipotecada;6.0;YWEEROgW-WtUh;Pagamento de débitos;A;3000;6.99;0;0.07;NtgXLM0N-lSbS;0;5
CoGBARzY-3eTo;31;75000;Hipotecada;2.0;LaQE66Ut-GwTE;Educativo;A;12000;7.29;0;0.16;Y63Hz2B5-l6Pi;0;10
27yc21lz-GvUj;30;98000;Hipotecada;8.0;7jNREXq9-xMfW;Empreendimento;A;3500;7.68;0;0.04;1RSei81H-tFTR;0;10
kQf0Tsaf-zl1F;22;55000;Hipotecada;5.0;Tum2lkFm-K0uR;Educativo;D;11100;16.77;0;0.2;evNwc6Sj-0F0X;0;2
pYloAhEu-OIdc;21;85000;Alugada;1.0;jIwOcgz9-iks9;Empreendimento;C;12000;11.97;0;0.14;Hb9cq58i-4lpr;0;2
BGBQUpbB-qg5c;29;97000;Hipotecada;2.0;jw4xPWmx-uOtT;Empreendimento;C;10000;12.23;0;0.1;3jWhl70L-t0L4;1;5
k5UnZzkY-THej;25;66420;Hipotecada;1.0;JUiJcwNg-0tk4;Médico;B;4000;12.18;0;0.06;h2Hk2Uok-P8Ts;0;3
7kvpju9K-YnDC;22;91234;Hipotecada;6.0;IekCKQ0k-T8lI;Pessoal;B;12000;11.83;0;0.13;b2lKm9ek-oatg;0;2
fZcsCw5e-LZjW;40;44940;Alugada;2.0;tnSjtSKb-7YTY;Educativo;A;9000;8.94;0;0.2;GEjWj6Of-T90k;0;13
GxI5zrJG-Dge6;73;39240;Alugada;0.0;FhUAMhDx-yIPh;Médico;B;1800;12.53;0;0.05;UgrzKcXf-2p3x;0;21
mvRe5hcN-knH5;27;81000;Alugada;5.0;k62wcsql-puct;Melhora do lar;B;7500;10.25;0;0.09;KDbqRgP8-qbgq;0;7
NzliTtxD-EUOT;23;45000;Alugada;0.0;rSmk3Csr-eAgu;Educativo;A;5000;7.75;0;0.11;LwNueArA-M81a;0;3
KiRXnycc-Jp8r;24;29000;Alugada;4.0;sEPhAaRU-YL8T;Médico;D;14400;15.7;1;0.5;xCpmH9p7-SoCg;0;4
eaBlGn51-NmPj;24;19200;Alugada;1.0;M0jQ842U-slWc;Melhora do lar;C;8000;13.61;1;0.42;LJgua93o-Q60L;1;3
zY8w1Sf7-GSSN;27;36996;Alugada;4.0;lBJd5CNf-uW2s;Pessoal;D;5775;14.91;0;0.16;KMWXpcKh-2Odj;0;7
QgiMY8cr-TJCs;30;63500;Hipotecada;9.0;iOcBATS3-T8QQ;Empreendimento;D;12000;15.33;0;0.19;fw46fN0t-Rrxz;1;9
1h0EDPrQ-0p2n;27;48100;Hipotecada;1.0;dmk8RbXf-yqxA;Empreendimento;B;20000;11.89;0;0.42;7035W4y2-DLjU;0;10
9FDgG2cX-IewS;50;85000;Alugada;1.0;0iLg2FsJ-ded8;Melhora do lar;C;17500;13.49;0;0.21;7AlQ4b4y-1680;0;17
Ca3IMEYv-lfyt;25;65000;Hipotecada;4.0;CUIiC43Z-LmHG;Pessoal;A;6000;8.9;1;0.09;X7FlhqTx-Gtse;0;2
4U0LwBMF-07qG;33;115000;Própria;2.0;lgLUG69p-HEQN;Empreendimento;B;14400;11.14;0;0.13;ojpNxmwd-zNEB;0;5
YUy88sL2-fboR;30;110000;Alugada;5.0;MlfdrZla-xrRx;Empreendimento;D;20000;14.11;0;0.18;MziYBFrB-Mx6f;1;5
db8U9uP3-jsRK;28;49000;Alugada;6.0;W6XmS6Fs-xbe3;Pagamento de débitos;D;4800;15.99;1;0.1;GPDmZ69f-SJpG;0;5
ZMtfPNIP-nDik;22;32240;Alugada;3.0;zWJQBZ0c-9h07;Pessoal;C;15000;13.22;1;0.47;SKkYPx4L-KN2n;0;3
3kvpFmoz-xvfQ;37;39000;Alugada;5.0;eoDIutOp-Bray;Pessoal;B;15000;10.96;1;0.38;a8O25Bz4-jlcb;0;12
6lruRjjA-F0Wr;24;25000;Alugada;0.0;htW4zJ9P-z3Ke;Empreendimento;B;8500;11.71;1;0.34;9GmhyY86-86zv;0;3
1qv9viEc-ndhs;24;65000;Hipotecada;5.0;RTI5EcgG-sjp3;Empreendimento;A;8000;7.51;0;0.12;ZsBYkAtp-Wh3r;0;4
